BabyAI-GoToLocalS6N3-v0, Seed: 9, Steps: 5
BabyAI-GoToLocalS6N4-v0, Seed: 0, Steps: 1
BabyAI-GoToLocalS6N4-v0, Seed: 1, Steps: 2
BabyAI-GoToLocalS6N4-v0, Seed: 2, Steps: 5
BabyAI-GoToLocalS6N4-v0, Seed: 3, Steps: 1
BabyAI-GoToLocalS6N4-v0, Seed: 4, Steps: 5
BabyAI-GoToLocalS6N4-v0, Seed: 5, Steps: 6
BabyAI-GoToLocalS6N4-v0, Seed: 6, Steps: 4
BabyAI-GoToLocalS6N4-v0, Seed: 7, Steps: 1
BabyAI-GoToLocalS6N4-v0, Seed: 8, Steps: 6
BabyAI-GoToLocalS6N4-v0, Seed: 9, Steps: 1
BabyAI-GoToLocalS7N4-v0, Seed: 0, Steps: 4
BabyAI-GoToLocalS7N4-v0, Seed: 1, Steps: 3
BabyAI-GoToLocalS7N4-v0, Seed: 2, Steps: 2
BabyAI-GoToLocalS7N4-v0, Seed: 3, Steps: 3
BabyAI-GoToLocalS7N4-v0, Seed: 4, Steps: 2
BabyAI-GoToLocalS7N4-v0, Seed: 5, Steps: 5
BabyAI-GoToLocalS7N4-v0, Seed: 6, Steps: 2
BabyAI-GoToLocalS7N4-v0, Seed: 7, Steps: 3
BabyAI-GoToLocalS7N4-v0, Seed: 8, Steps: 9
BabyAI-GoToLocalS7N4-v0, Seed: 9, Steps: 1
BabyAI-GoToLocalS7N5-v0, Seed: 0, Steps: 4
BabyAI-GoToLocalS7N5-v0, Seed: 1, Steps: 3
BabyAI-GoToLocalS7N5-v0, Seed: 2, Steps: 3
BabyAI-GoToLocalS7N5-v0, Seed: 3, Steps: 2
BabyAI-GoToLocalS7N5-v0, Seed: 4, Steps: 4
BabyAI-GoToLocalS7N5-v0, Seed: 5, Steps: 7
BabyAI-GoToLocalS7N5-v0, Seed: 6, Steps: 1
BabyAI-GoToLocalS7N5-v0, Seed: 7, Steps: 6
BabyAI-GoToLocalS7N5-v0, Seed: 8, Steps: 11
BabyAI-GoToLocalS7N5-v0, Seed: 9, Steps: 1
BabyAI-GoToLocalS8N2-v0, Seed: 0, Steps: 3
BabyAI-GoToLocalS8N2-v0, Seed: 1, Steps: 4
BabyAI-GoToLocalS8N2-v0, Seed: 2, Steps: 7
BabyAI-GoToLocalS8N2-v0, Seed: 3, Steps: 4
BabyAI-GoToLocalS8N2-v0, Seed: 4, Steps: 9
BabyAI-GoToLocalS8N2-v0, Seed: 5, Steps: 3
BabyAI-GoToLocalS8N2-v0, Seed: 6, Steps: 5
BabyAI-GoToLocalS8N2-v0, Seed: 7, Steps: 7
BabyAI-GoToLocalS8N2-v0, Seed: 8, Steps: 8
BabyAI-GoToLocalS8N2-v0, Seed: 9, Steps: 6
BabyAI-GoToLocalS8N3-v0, Seed: 0, Steps: 2
BabyAI-GoToLocalS8N3-v0, Seed: 1, Steps: 4
BabyAI-GoToLocalS8N3-v0, Seed: 2, Steps: 9
BabyAI-GoToLocalS8N3-v0, Seed: 3, Steps: 4
BabyAI-GoToLocalS8N3-v0, Seed: 4, Steps: 4
BabyAI-GoToLocalS8N3-v0, Seed: 5, Steps: 5
BabyAI-GoToLocalS8N3-v0, Seed: 6, Steps: 2
BabyAI-GoToLocalS8N3-v0, Seed: 7, Steps: 6
BabyAI-GoToLocalS8N3-v0, Seed: 8, Steps: 8
BabyAI-GoToLocalS8N3-v0, Seed: 9, Steps: 7
BabyAI-GoToLocalS8N4-v0, Seed: 0, Steps: 3
BabyAI-GoToLocalS8N4-v0, Seed: 1, Steps: 5
BabyAI-GoToLocalS8N4-v0, Seed: 2, Steps: 3
BabyAI-GoToLocalS8N4-v0, Seed: 3, Steps: 7
BabyAI-GoToLocalS8N4-v0, Seed: 4, Steps: 2
BabyAI-GoToLocalS8N4-v0, Seed: 5, Steps: 5
BabyAI-GoToLocalS8N4-v0, Seed: 6, Steps: 2
BabyAI-GoToLocalS8N4-v0, Seed: 7, Steps: 3
BabyAI-GoToLocalS8N4-v0, Seed: 8, Steps: 8
BabyAI-GoToLocalS8N4-v0, Seed: 9, Steps: 7
BabyAI-GoToLocalS8N5-v0, Seed: 0, Steps: 2
BabyAI-GoToLocalS8N5-v0, Seed: 1, Steps: 7
BabyAI-GoToLocalS8N5-v0, Seed: 2, Steps: 10
BabyAI-GoToLocalS8N5-v0, Seed: 3, Steps: 2
BabyAI-GoToLocalS8N5-v0, Seed: 4, Steps: 2
BabyAI-GoToLocalS8N5-v0, Seed: 5, Steps: 8
BabyAI-GoToLocalS8N5-v0, Seed: 6, Steps: 1
BabyAI-GoToLocalS8N5-v0, Seed: 7, Steps: 1
BabyAI-GoToLocalS8N5-v0, Seed: 8, Steps: 11
BabyAI-GoToLocalS8N5-v0, Seed: 9, Steps: 3
BabyAI-GoToLocalS8N6-v0, Seed: 0, Steps: 3
BabyAI-GoToLocalS8N6-v0, Seed: 1, Steps: 5
BabyAI-GoToLocalS8N6-v0, Seed: 2, Steps: 3
BabyAI-GoToLocalS8N6-v0, Seed: 3, Steps: 4
BabyAI-GoToLocalS8N6-v0, Seed: 4, Steps: 4
BabyAI-GoToLocalS8N6-v0, Seed: 5, Steps: 5
BabyAI-GoToLocalS8N6-v0, Seed: 6, Steps: 2
BabyAI-GoToLocalS8N6-v0, Seed: 7, Steps: 5
BabyAI-GoToLocalS8N6-v0, Seed: 8, Steps: 7
BabyAI-GoToLocalS8N6-v0, Seed: 9, Steps: 3
BabyAI-GoToLocalS8N7-v0, Seed: 0, Steps: 3
BabyAI-GoToLocalS8N7-v0, Seed: 1, Steps: 4
BabyAI-GoToLocalS8N7-v0, Seed: 2, Steps: 3
BabyAI-GoToLocalS8N7-v0, Seed: 3, Steps: 13
BabyAI-GoToLocalS8N7-v0, Seed: 4, Steps: 2
BabyAI-GoToLocalS8N7-v0, Seed: 5, Steps: 5
BabyAI-GoToLocalS8N7-v0, Seed: 6, Steps: 7
BabyAI-GoToLocalS8N7-v0, Seed: 7, Steps: 3
BabyAI-GoToLocalS8N7-v0, Seed: 8, Steps: 8
BabyAI-GoToLocalS8N7-v0, Seed: 9, Steps: 4
BabyAI-GoTo-v0, Seed: 0, Steps: 33
BabyAI-GoTo-v0, Seed: 1, Steps: 3
BabyAI-GoTo-v0, Seed: 2, Steps: 173
BabyAI-GoTo-v0, Seed: 3, Steps: 4
BabyAI-GoTo-v0, Seed: 4, Steps: 81
BabyAI-GoTo-v0, Seed: 5, Steps: 64
BabyAI-GoTo-v0, Seed: 6, Steps: 62
BabyAI-GoTo-v0, Seed: 7, Steps: 21
BabyAI-GoTo-v0, Seed: 8, Steps: 10
BabyAI-GoTo-v0, Seed: 9, Steps: 3
BabyAI-GoToOpen-v0, Seed: 0, Steps: 16
BabyAI-GoToOpen-v0, Seed: 1, Steps: 3
BabyAI-GoToOpen-v0, Seed: 2, Steps: 69
BabyAI-GoToOpen-v0, Seed: 3, Steps: 4
BabyAI-GoToOpen-v0, Seed: 4, Steps: 83
BabyAI-GoToOpen-v0, Seed: 5, Steps: 79
BabyAI-GoToOpen-v0, Seed: 6, Steps: 61
BabyAI-GoToOpen-v0, Seed: 7, Steps: 57
BabyAI-GoToOpen-v0, Seed: 8, Steps: 10
BabyAI-GoToOpen-v0, Seed: 9, Steps: 3
BabyAI-GoToObjMaze-v0, Seed: 0, Steps: 18
BabyAI-GoToObjMaze-v0, Seed: 1, Steps: 43
BabyAI-GoToObjMaze-v0, Seed: 2, Steps: 80
BabyAI-GoToObjMaze-v0, Seed: 3, Steps: 14
BabyAI-GoToObjMaze-v0, Seed: 4, Steps: 7
BabyAI-GoToObjMaze-v0, Seed: 5, Steps: 87
BabyAI-GoToObjMaze-v0, Seed: 6, Steps: 24
