Seed 1: Total Steps = 2086, Completed Missions = 81
Seed 2: Total Steps = 2097, Completed Missions = 78
Seed 3: Total Steps = 1835, Completed Missions = 79
Seed 4: Total Steps = 2126, Completed Missions = 79
Seed 5: Total Steps = 1930, Completed Missions = 80
Seed 6: Total Steps = 1572, Completed Missions = 81
Seed 7: Total Steps = 1863, Completed Missions = 79
Seed 8: Total Steps = 2116, Completed Missions = 82
Seed 9: Total Steps = 1817, Completed Missions = 82
Seed 10: Total Steps = 1691, Completed Missions = 81
Seed 11: Total Steps = 2214, Completed Missions = 79
Seed 12: Total Steps = 2414, Completed Missions = 82
Seed 13: Total Steps = 1552, Completed Missions = 81
Seed 14: Total Steps = 1530, Completed Missions = 78
Seed 15: Total Steps = 2184, Completed Missions = 82
Seed 16: Total Steps = 2816, Completed Missions = 80
Seed 17: Total Steps = 1680, Completed Missions = 80
Seed 18: Total Steps = 2270, Completed Missions = 81
Seed 19: Total Steps = 2264, Completed Missions = 82
Seed 20: Total Steps = 2381, Completed Missions = 82
Seed 21: Total Steps = 2303, Completed Missions = 82
Seed 22: Total Steps = 1747, Completed Missions = 78
Seed 23: Total Steps = 1730, Completed Missions = 82
Seed 24: Total Steps = 1662, Completed Missions = 79
